Date,Sun,Mercury,Venus,Mars,Jupiter,Saturn,MeanNode,SouthNode
2/20/2016 12:00,307.2933,284.7234,280.1202,210.1114,146.4554,231.4723,148.9496,328.9496
2/21/2016 0:00,307.7972,285.4259,280.7382,210.3286,146.3967,231.4994,148.9231,328.9231
2/21/2016 12:00,308.3009,286.1333,281.3563,210.5449,146.3376,231.5262,148.8966,328.8966
2/22/2016 0:00,308.8045,286.8456,281.9745,210.7602,146.2781,231.5526,148.8701,328.8701
2/22/2016 12:00,309.308,287.5627,282.5926,210.9745,146.2183,231.5787,148.8436,328.8436
2/23/2016 0:00,309.8114,288.2845,283.2108,211.1879,146.1582,231.6044,148.8171,328.8171
2/23/2016 12:00,310.3147,289.0109,283.829,211.4002,146.0977,231.6297,148.7906,328.7906
2/24/2016 0:00,310.8179,289.742,284.4472,211.6115,146.0369,231.6546,148.7641,328.7641
2/24/2016 12:00,311.3209,290.4777,285.0655,211.8217,145.9758,231.6791,148.7375,328.7375
2/25/2016 0:00,311.8238,291.2179,285.6838,212.031,145.9144,231.7033,148.711,328.711
2/25/2016 12:00,312.3267,291.9626,286.3021,212.2392,145.8527,231.7271,148.6845,328.6845
2/26/2016 0:00,312.8294,292.7119,286.9204,212.4463,145.7907,231.7505,148.658,328.658
2/26/2016 12:00,313.332,293.4655,287.5388,212.6523,145.7284,231.7735,148.6315,328.6315
2/27/2016 0:00,313.8345,294.2237,288.1572,212.8573,145.6659,231.7961,148.605,328.605
2/27/2016 12:00,314.3369,294.9862,288.7756,213.0611,145.6031,231.8184,148.5785,328.5785
2/28/2016 0:00,314.8392,295.7532,289.3941,213.2638,145.5402,231.8403,148.552,328.552
2/28/2016 12:00,315.3414,296.5246,290.0125,213.4654,145.4769,231.8618,148.5255,328.5255
2/29/2016 0:00,315.8435,297.3004,290.631,213.6659,145.4135,231.8829,148.499,328.499
2/29/2016 12:00,316.3455,298.0806,291.2495,213.8652,145.3499,231.9036,148.4725,328.4725
3/1/2016 0:00,316.8474,298.8652,291.8681,214.0633,145.286,231.9239,148.446,328.446
3/1/2016 12:00,317.3492,299.6541,292.4867,214.2602,145.222,231.9438,148.4195,328.4195
3/2/2016 0:00,317.8509,300.4475,293.1052,214.4559,145.1578,231.9634,148.393,328.393
3/2/2016 12:00,318.3525,301.2453,293.7238,214.6504,145.0935,231.9825,148.3665,328.3665
3/3/2016 0:00,318.854,302.0475,294.3425,214.8437,145.029,232.0012,148.3401,328.3401
3/3/2016 12:00,319.3554,302.8541,294.9611,215.0357,144.9644,232.0196,148.3136,328.3136
3/4/2016 0:00,319.8566,303.6652,295.5798,215.2264,144.8997,232.0375,148.2871,328.2871
3/4/2016 12:00,320.3578,304.4807,296.1984,215.4158,144.8348,232.0551,148.2606,328.2606
3/5/2016 0:00,320.8588,305.3007,296.8171,215.604,144.7699,232.0722,148.2341,328.2341
3/5/2016 12:00,321.3598,306.1252,297.4358,215.7908,144.7049,232.089,148.2076,328.2076
3/6/2016 0:00,321.8606,306.9542,298.0545,215.9762,144.6397,232.1053,148.1811,328.1811
3/6/2016 12:00,322.3613,307.7877,298.6732,216.1603,144.5746,232.1212,148.1546,328.1546
3/7/2016 0:00,322.8619,308.6258,299.2919,216.3431,144.5093,232.1367,148.1282,328.1282
3/7/2016 12:00,323.3624,309.4684,299.9106,216.5244,144.444,232.1518,148.1017,328.1017
3/8/2016 0:00,323.8627,310.3157,300.5292,216.7043,144.3787,232.1665,148.0752,328.0752
3/8/2016 12:00,324.3629,311.1676,301.1479,216.8828,144.3134,232.1808,148.0487,328.0487
3/9/2016 0:00,324.863,312.0241,301.7666,217.0598,144.2481,232.1947,148.0221,328.0221
3/9/2016 12:00,325.363,312.8853,302.3852,217.2354,144.1827,232.2081,147.9956,327.9956
3/10/2016 0:00,325.8628,313.7512,303.0039,217.4096,144.1174,232.2211,147.9691,327.9691
3/10/2016 12:00,326.3624,314.6218,303.6225,217.5822,144.0522,232.2338,147.9426,327.9426
3/11/2016 0:00,326.862,315.4972,304.2411,217.7533,143.987,232.246,147.9161,327.9161
3/11/2016 12:00,327.3614,316.3774,304.8597,217.9229,143.9218,232.2578,147.8896,327.8896
3/12/2016 0:00,327.8606,317.2624,305.4783,218.091,143.8567,232.2691,147.8631,327.8631
3/12/2016 12:00,328.3597,318.1522,306.0969,218.2576,143.7918,232.2801,147.8366,327.8366
3/13/2016 0:00,328.8587,319.0468,306.7154,218.4225,143.7269,232.2907,147.8101,327.8101
3/13/2016 12:00,329.3575,319.9464,307.334,218.5859,143.6621,232.3008,147.7836,327.7836
3/14/2016 0:00,329.8561,320.8509,307.9525,218.7478,143.5975,232.3105,147.7571,327.7571
3/14/2016 12:00,330.3546,321.7602,308.571,218.908,143.533,232.3199,147.7306,327.7306
3/15/2016 0:00,330.853,322.6745,309.1894,219.0666,143.4686,232.3288,147.7042,327.7042
3/15/2016 12:00,331.3512,323.5938,309.8079,219.2235,143.4044,232.3372,147.6777,327.6777
3/16/2016 0:00,331.8492,324.5179,310.4263,219.3788,143.3404,232.3453,147.6512,327.6512
3/16/2016 12:00,332.347,325.4471,311.0447,219.5325,143.2765,232.353,147.6247,327.6247
3/17/2016 0:00,332.8448,326.3811,311.663,219.6844,143.2128,232.3602,147.5982,327.5982
3/17/2016 12:00,333.3423,327.3201,312.2814,219.8347,143.1494,232.367,147.5717,327.5717
3/18/2016 0:00,333.8397,328.2641,312.8997,219.9832,143.0861,232.3734,147.5452,327.5452
3/18/2016 12:00,334.3369,329.2129,313.518,220.13,143.0231,232.3794,147.5188,327.5188
3/19/2016 0:00,334.834,330.1666,314.1363,220.275,142.9603,232.3849,147.4923,327.4923
3/19/2016 12:00,335.3309,331.1251,314.7545,220.4183,142.8977,232.3901,147.4658,327.4658
3/20/2016 0:00,335.8277,332.0884,315.3727,220.5598,142.8354,232.3948,147.4393,327.4393
3/20/2016 12:00,336.3243,333.0564,315.9909,220.6994,142.7733,232.3991,147.4128,327.4128
3/21/2016 0:00,336.8207,334.0291,316.6091,220.8372,142.7116,232.403,147.3863,327.3863
3/21/2016 12:00,337.317,335.0063,317.2273,220.9732,142.6501,232.4064,147.3598,327.3598
3/22/2016 0:00,337.8132,335.988,317.8454,221.1072,142.5889,232.4095,147.3333,327.3333
3/22/2016 12:00,338.3092,336.974,318.4635,221.2394,142.528,232.4121,147.3067,327.3067
3/23/2016 0:00,338.8051,337.9642,319.0816,221.3697,142.4674,232.4143,147.2802,327.2802
3/23/2016 12:00,339.3008,338.9585,319.6997,221.498,142.4071,232.4161,147.2537,327.2537
3/24/2016 0:00,339.7964,339.9567,320.3177,221.6244,142.3472,232.4175,147.2272,327.2272
3/24/2016 12:00,340.2918,340.9586,320.9358,221.7488,142.2876,232.4184,147.2007,327.2007
3/25/2016 0:00,340.7871,341.964,321.5538,221.8712,142.2284,232.419,147.1742,327.1742
3/25/2016 12:00,341.2823,342.9725,322.1718,221.9915,142.1696,232.4191,147.1477,327.1477
3/26/2016 0:00,341.7773,343.9841,322.7898,222.1099,142.1111,232.4188,147.1212,327.1212
3/26/2016 12:00,342.2722,344.9984,323.4078,222.2261,142.053,232.4181,147.0947,327.0947
3/27/2016 0:00,342.767,346.015,324.0258,222.3402,141.9953,232.417,147.0682,327.0682
3/27/2016 12:00,343.2617,347.0336,324.6438,222.4523,141.938,232.4155,147.0417,327.0417
3/28/2016 0:00,343.7562,348.0539,325.2617,222.5621,141.8811,232.4135,147.0152,327.0152
3/28/2016 12:00,344.2506,349.0754,325.8797,222.6698,141.8246,232.4112,146.9887,326.9887
3/29/2016 0:00,344.7448,350.0976,326.4976,222.7753,141.7686,232.4084,146.9622,326.9622
3/29/2016 12:00,345.239,351.1202,327.1155,222.8786,141.713,232.4052,146.9357,326.9357
3/30/2016 0:00,345.733,352.1426,327.7334,222.9797,141.6578,232.4017,146.9092,326.9092
3/30/2016 12:00,346.2269,353.1642,328.3513,223.0784,141.6031,232.3976,146.8828,326.8828
3/31/2016 0:00,346.7207,354.1845,328.9692,223.1749,141.5489,232.3932,146.8563,326.8563
3/31/2016 12:00,347.2143,355.2029,329.587,223.269,141.4951,232.3884,146.8298,326.8298
4/1/2016 0:00,347.7078,356.2187,330.2049,223.3608,141.4419,232.3832,146.8033,326.8033
4/1/2016 12:00,348.2013,357.2314,330.8227,223.4502,141.3891,232.3775,146.7768,326.7768
4/2/2016 0:00,348.6945,358.2401,331.4405,223.5371,141.3368,232.3715,146.7503,326.7503
4/2/2016 12:00,349.1877,359.2442,332.0583,223.6217,141.285,232.365,146.7238,326.7238
4/3/2016 0:00,349.6807,0.243,332.6761,223.7038,141.2337,232.3581,146.6973,326.6973
4/3/2016 12:00,350.1736,1.2357,333.2938,223.7834,141.183,232.3508,146.6709,326.6709
4/4/2016 0:00,350.6664,2.2215,333.9115,223.8605,141.1328,232.3431,146.6444,326.6444
4/4/2016 12:00,351.1591,3.1996,334.5292,223.935,141.0831,232.335,146.6179,326.6179
4/5/2016 0:00,351.6516,4.1694,335.1469,224.007,141.0339,232.3264,146.5913,326.5913
4/5/2016 12:00,352.144,5.1299,335.7645,224.0764,140.9854,232.3175,146.5648,326.5648
4/6/2016 0:00,352.6363,6.0804,336.3821,224.1432,140.9373,232.3082,146.5383,326.5383
4/6/2016 12:00,353.1284,7.0201,336.9997,224.2073,140.8899,232.2984,146.5118,326.5118
4/7/2016 0:00,353.6204,7.9482,337.6173,224.2688,140.843,232.2883,146.4853,326.4853
4/7/2016 12:00,354.1122,8.8641,338.2348,224.3276,140.7967,232.2777,146.4588,326.4588
4/8/2016 0:00,354.604,9.7668,338.8523,224.3837,140.751,232.2668,146.4323,326.4323
4/8/2016 12:00,355.0955,10.6557,339.4697,224.4371,140.706,232.2555,146.4058,326.4058
4/9/2016 0:00,355.587,11.5301,340.0871,224.4878,140.6615,232.2437,146.3793,326.3793
4/9/2016 12:00,356.0783,12.3893,340.7045,224.5357,140.6177,232.2316,146.3528,326.3528
4/10/2016 0:00,356.5694,13.2327,341.3218,224.5809,140.5744,232.2191,146.3263,326.3263
4/10/2016 12:00,357.0604,14.0595,341.9391,224.6232,140.5318,232.2062,146.2998,326.2998
4/11/2016 0:00,357.5512,14.8692,342.5564,224.6628,140.4899,232.1929,146.2734,326.2734
4/11/2016 12:00,358.0419,15.6612,343.1736,224.6995,140.4486,232.1793,146.2469,326.2469
4/12/2016 0:00,358.5324,16.435,343.7908,224.7334,140.4079,232.1652,146.2204,326.2204
4/12/2016 12:00,359.0228,17.1901,344.4079,224.7644,140.3679,232.1508,146.1939,326.1939
4/13/2016 0:00,359.513,17.9259,345.025,224.7926,140.3286,232.136,146.1674,326.1674
4/13/2016 12:00,0.0031,18.642,345.642,224.8179,140.2899,232.1208,146.1409,326.1409
4/14/2016 0:00,0.493,19.3379,346.259,224.8402,140.2518,232.1053,146.1145,326.1145
4/14/2016 12:00,0.9827,20.0134,346.8759,224.8597,140.2145,232.0894,146.088,326.088
4/15/2016 0:00,1.4722,20.6679,347.4928,224.8762,140.1778,232.073,146.0615,326.0615
4/15/2016 12:00,1.9617,21.3011,348.1097,224.8897,140.1418,232.0564,146.035,326.035
4/16/2016 0:00,2.4509,21.9128,348.7265,224.9003,140.1065,232.0393,146.0085,326.0085
4/16/2016 12:00,2.94,22.5025,349.3432,224.9079,140.0718,232.0219,145.982,325.982
4/17/2016 0:00,3.4289,23.07,349.9599,224.9125,140.0379,232.0041,145.9555,325.9555
4/17/2016 12:00,3.9177,23.6151,350.5766,224.914,140.0046,231.986,145.929,325.929
4/18/2016 0:00,4.4063,24.1374,351.1932,224.9125,139.972,231.9675,145.9025,325.9025
4/18/2016 12:00,4.8948,24.6369,351.8098,224.908,139.9402,231.9486,145.876,325.876
4/19/2016 0:00,5.3832,25.1131,352.4263,224.9004,139.909,231.9294,145.8495,325.8495
4/19/2016 12:00,5.8713,25.566,353.0429,224.8898,139.8785,231.9099,145.823,325.823
4/20/2016 0:00,6.3594,25.9953,353.6593,224.876,139.8488,231.8899,145.7964,325.7964
4/20/2016 12:00,6.8473,26.401,354.2757,224.8592,139.8198,231.8697,145.7699,325.7699
4/21/2016 0:00,7.3351,26.7828,354.8921,224.8393,139.7915,231.8491,145.7434,325.7434
4/21/2016 12:00,7.8227,27.1406,355.5085,224.8162,139.7639,231.8281,145.7169,325.7169
4/22/2016 0:00,8.3102,27.4744,356.1248,224.79,139.737,231.8069,145.6904,325.6904
4/22/2016 12:00,8.7976,27.784,356.7411,224.7607,139.7109,231.7853,145.6639,325.6639
